site, Date, Precipitation, Condition
19U,10/12/2009,0.000,
19U,10/13/2009,0.100,
19U,10/14/2009,0.900,
19U,10/15/2009,0.030,
19U,10/16/2009,0.740,
19U,10/17/2009,0.720,
19U,10/18/2009,0.200,
19U,10/19/2009,0.000,
19U,10/20/2009,0.000,
19U,10/21/2009,0.180,
19U,10/22/2009,0.010,
19U,10/23/2009,0.740,
19U,10/24/2009,0.010,
19U,10/25/2009,0.240,
19U,10/26/2009,1.920,
19U,10/27/2009,0.030,
19U,10/28/2009,0.060,
19U,10/29/2009,0.420,
19U,10/30/2009,0.150,
19U,10/31/2009,0.150,
19U,11/1/2009,0.000,
19U,11/2/2009,0.010,
19U,11/3/2009,0.010,
19U,11/4/2009,0.000,
19U,11/5/2009,0.710,
19U,11/6/2009,1.040,
19U,11/7/2009,0.910,
19U,11/8/2009,0.070,
19U,11/9/2009,0.400,
19U,11/10/2009,0.390,
19U,11/11/2009,0.070,
19U,11/12/2009,0.000,
19U,11/13/2009,0.400,
19U,11/14/2009,0.020,
19U,11/15/2009,0.260,
19U,11/16/2009,0.790,
19U,11/17/2009,1.190,
19U,11/18/2009,0.590,
19U,11/19/2009,0.610,
19U,11/20/2009,0.220,
19U,11/21/2009,0.110,
19U,11/22/2009,0.660,
19U,11/23/2009,0.110,
19U,11/24/2009,0.270,
19U,11/25/2009,0.000,
19U,11/26/2009,0.680,
19U,11/27/2009,0.070,
19U,11/28/2009,0.000,
19U,11/29/2009,0.000,
19U,11/30/2009,0.020,
19U,12/1/2009,0.020,
19U,12/2/2009,0.000,
19U,12/3/2009,0.000,
19U,12/4/2009,0.000,
19U,12/5/2009,0.000,
19U,12/6/2009,0.000,
19U,12/7/2009,0.000,
19U,12/8/2009,0.000,
19U,12/9/2009,0.000,
19U,12/10/2009,0.000,
19U,12/11/2009,0.000,
19U,12/12/2009,0.000,
19U,12/13/2009,0.030,
19U,12/14/2009,0.360,
19U,12/15/2009,0.430,
19U,12/16/2009,0.510,
19U,12/17/2009,0.040,
19U,12/18/2009,0.000,
19U,12/19/2009,0.680,
19U,12/20/2009,0.270,
19U,12/21/2009,0.360,
19U,12/22/2009,0.020,
19U,12/23/2009,0.000,
19U,12/24/2009,0.010,
19U,12/25/2009,0.010,
19U,12/26/2009,0.000,
19U,12/27/2009,0.000,
19U,12/28/2009,0.000,
19U,12/29/2009,0.010,
19U,12/30/2009,0.000,
19U,12/31/2009,0.290,
19U,1/1/2010,1.020,
19U,1/2/2010,0.100,
19U,1/3/2010,0.020,
19U,1/4/2010,0.410,
19U,1/5/2010,0.290,
19U,1/6/2010,0.000,
19U,1/7/2010,0.000,
19U,1/8/2010,0.670,
19U,1/9/2010,0.110,
19U,1/10/2010,0.000,
19U,1/11/2010,0.540,
19U,1/12/2010,0.400,
19U,1/13/2010,0.800,
19U,1/14/2010,0.270,
19U,1/15/2010,0.490,
19U,1/16/2010,0.000,
19U,1/17/2010,0.010,
19U,1/18/2010,0.010,
19U,1/19/2010,0.000,
19U,1/20/2010,0.000,
19U,1/21/2010,0.000,
19U,1/22/2010,0.000,
19U,1/23/2010,0.040,
19U,1/24/2010,0.300,
19U,1/25/2010,0.050,
19U,1/26/2010,0.000,
19U,1/27/2010,0.000,
19U,1/28/2010,0.000,
19U,1/29/2010,0.000,
19U,1/30/2010,0.190,
19U,1/31/2010,0.050,
19U,2/1/2010,0.020,
19U,2/2/2010,0.030,
19U,2/3/2010,0.140,
19U,2/4/2010,0.010,
19U,2/5/2010,0.060,
19U,2/6/2010,0.050,
19U,2/7/2010,0.090,
19U,2/8/2010,0.000,
19U,2/9/2010,0.000,
19U,2/10/2010,0.060,
19U,2/11/2010,0.100,
19U,2/12/2010,0.400,
19U,2/13/2010,0.110,
19U,2/14/2010,0.210,
19U,2/15/2010,0.000,
19U,2/16/2010,0.210,
19U,2/17/2010,0.000,
19U,2/18/2010,0.000,
19U,2/19/2010,0.000,
19U,2/20/2010,0.000,
19U,2/21/2010,0.000,
19U,2/22/2010,0.000,
19U,2/23/2010,0.000,
19U,2/24/2010,0.320,
19U,2/25/2010,0.110,
19U,2/26/2010,0.290,
19U,2/27/2010,0.100,
19U,2/28/2010,0.000,
19U,3/1/2010,0.000,
19U,3/2/2010,0.570,
19U,3/3/2010,0.020,
19U,3/4/2010,0.000,
19U,3/5/2010,0.000,
19U,3/6/2010,0.000,
19U,3/7/2010,0.300,
19U,3/8/2010,0.090,
19U,3/9/2010,0.010,
19U,3/10/2010,0.000,
19U,3/11/2010,0.600,
19U,3/12/2010,0.760,
19U,3/13/2010,0.010,
19U,3/14/2010,0.000,
19U,3/15/2010,0.000,
19U,3/16/2010,0.210,
19U,3/17/2010,0.020,
19U,3/18/2010,0.000,
19U,3/19/2010,0.010,
19U,3/20/2010,0.080,
19U,3/21/2010,0.190,
19U,3/22/2010,0.020,
19U,3/23/2010,0.000,
19U,3/24/2010,0.000,
19U,3/25/2010,0.560,
19U,3/26/2010,0.130,
19U,3/27/2010,0.000,
19U,3/28/2010,0.640,
19U,3/29/2010,1.430,
19U,3/30/2010,0.260,
19U,3/31/2010,0.000,
19U,4/1/2010,0.020,
19U,4/2/2010,0.890,
19U,4/3/2010,0.170,
19U,4/4/2010,0.140,
19U,4/5/2010,0.420,
19U,4/6/2010,0.000,
19U,4/7/2010,0.190,
19U,4/8/2010,0.800,
19U,4/9/2010,0.070,
19U,4/10/2010,0.000,
19U,4/11/2010,0.000,
19U,4/12/2010,0.000,
19U,4/13/2010,0.180,
19U,4/14/2010,0.000,
19U,4/15/2010,0.010,
19U,4/16/2010,0.010,
19U,4/17/2010,0.340,
19U,4/18/2010,0.000,
19U,4/19/2010,0.000,
19U,4/20/2010,0.330,
19U,4/21/2010,1.290,
19U,4/22/2010,0.010,
19U,4/23/2010,0.070,
19U,4/24/2010,0.060,
19U,4/25/2010,0.000,
19U,4/26/2010,0.100,
19U,4/27/2010,0.310,
19U,4/28/2010,0.320,
19U,4/29/2010,0.160,
19U,4/30/2010,0.030,
19U,5/1/2010,0.190,
19U,5/2/2010,0.180,
19U,5/3/2010,0.580,
19U,5/4/2010,0.070,
19U,5/5/2010,0.300,
19U,5/6/2010,0.010,
19U,5/7/2010,0.000,
19U,5/8/2010,0.000,
19U,5/9/2010,0.000,
19U,5/10/2010,0.000,
19U,5/11/2010,0.010,
19U,5/12/2010,0.000,
19U,5/13/2010,0.000,
19U,5/14/2010,0.000,
19U,5/15/2010,0.000,
19U,5/16/2010,0.010,
19U,5/17/2010,0.040,
19U,5/18/2010,0.320,
19U,5/19/2010,0.440,
19U,5/20/2010,0.350,
19U,5/21/2010,0.130,
19U,5/22/2010,0.860,
19U,5/23/2010,0.100,
19U,5/24/2010,0.010,
19U,5/25/2010,0.090,
19U,5/26/2010,0.560,
19U,5/27/2010,0.060,
19U,5/28/2010,0.760,
19U,5/29/2010,0.170,
19U,5/30/2010,0.010,
19U,5/31/2010,0.150,
19U,6/1/2010,0.060,
19U,6/2/2010,0.650,
19U,6/3/2010,0.010,
19U,6/4/2010,0.780,
19U,6/5/2010,0.010,
19U,6/6/2010,0.310,
19U,6/7/2010,0.030,
19U,6/8/2010,0.640,
19U,6/9/2010,0.300,
19U,6/10/2010,0.390,
19U,6/11/2010,0.000,
19U,6/12/2010,0.000,
19U,6/13/2010,0.000,
19U,6/14/2010,0.000,
19U,6/15/2010,0.290,
19U,6/16/2010,0.170,
19U,6/17/2010,0.020,
19U,6/18/2010,0.010,
19U,6/19/2010,0.000,
19U,6/20/2010,0.350,
19U,6/21/2010,0.020,
19U,6/22/2010,0.000,
19U,6/23/2010,0.000,
19U,6/24/2010,0.000,
19U,6/25/2010,0.000,
19U,6/26/2010,0.000,
19U,6/27/2010,0.000,
19U,6/28/2010,0.000,
19U,6/29/2010,0.000,
19U,6/30/2010,0.000,
19U,7/1/2010,0.010,
19U,7/2/2010,0.430,
19U,7/3/2010,0.140,
19U,7/4/2010,0.180,
19U,7/5/2010,0.020,
19U,7/6/2010,0.000,
19U,7/7/2010,0.000,
19U,7/8/2010,0.000,
19U,7/9/2010,0.000,
19U,7/10/2010,0.000,
19U,7/11/2010,0.000,
19U,7/12/2010,0.000,
19U,7/13/2010,0.000,
19U,7/14/2010,0.000,
19U,7/15/2010,0.000,
19U,7/16/2010,0.000,
19U,7/17/2010,0.000,
19U,7/18/2010,0.000,
19U,7/19/2010,0.000,
19U,7/20/2010,0.000,
19U,7/21/2010,0.000,
19U,7/22/2010,0.000,
19U,7/23/2010,0.000,
19U,7/24/2010,0.000,
19U,7/25/2010,0.000,
19U,7/26/2010,0.000,
19U,7/27/2010,0.000,
19U,7/28/2010,0.000,
19U,7/29/2010,0.000,
19U,7/30/2010,0.000,
19U,7/31/2010,0.000,
19U,8/1/2010,0.010,
19U,8/2/2010,0.000,
19U,8/3/2010,0.000,
19U,8/4/2010,0.000,
19U,8/5/2010,0.000,
19U,8/6/2010,0.000,
19U,8/7/2010,0.260,
19U,8/8/2010,0.010,
19U,8/9/2010,0.020,
19U,8/10/2010,0.000,
19U,8/11/2010,0.000,
19U,8/12/2010,0.000,
19U,8/13/2010,0.000,
19U,8/14/2010,0.000,
19U,8/15/2010,0.000,
19U,8/16/2010,0.000,
19U,8/17/2010,0.000,
19U,8/18/2010,0.000,
19U,8/19/2010,0.000,
19U,8/20/2010,0.000,
19U,8/21/2010,0.000,
19U,8/22/2010,0.030,
19U,8/23/2010,0.000,
19U,8/24/2010,0.000,
19U,8/25/2010,0.000,
19U,8/26/2010,0.100,
19U,8/27/2010,0.010,
19U,8/28/2010,0.000,
19U,8/29/2010,0.000,
19U,8/30/2010,0.000,
19U,8/31/2010,0.810,
19U,9/1/2010,0.050,
19U,9/2/2010,0.000,
19U,9/3/2010,0.000,
19U,9/4/2010,0.010,
19U,9/5/2010,0.030,
19U,9/6/2010,0.270,
19U,9/7/2010,0.280,
19U,9/8/2010,0.170,
19U,9/9/2010,0.040,
19U,9/10/2010,0.000,
19U,9/11/2010,0.020,
19U,9/12/2010,0.000,
19U,9/13/2010,0.000,
19U,9/14/2010,0.000,
19U,9/15/2010,0.060,
19U,9/16/2010,0.310,
19U,9/17/2010,0.090,
19U,9/18/2010,0.810,
19U,9/19/2010,0.380,
19U,9/20/2010,0.050,
19U,9/21/2010,0.000,
19U,9/22/2010,0.000,
19U,9/23/2010,0.160,
19U,9/24/2010,0.030,
19U,9/25/2010,0.000,
19U,9/26/2010,0.210,
19U,9/27/2010,0.010,
19U,9/28/2010,0.090,
19U,9/29/2010,0.010,
19U,9/30/2010,0.000,
19U,10/1/2010,0.000,
19U,10/2/2010,0.000,
19U,10/3/2010,0.000,
19U,10/4/2010,0.000,
19U,10/5/2010,0.000,
19U,10/6/2010,0.000,
19U,10/7/2010,0.010,
19U,10/8/2010,0.010,
19U,10/9/2010,0.780,
19U,10/10/2010,1.070,
19U,10/11/2010,0.040,
19U,10/12/2010,0.000,
19U,10/13/2010,0.000,
19U,10/14/2010,0.140,
19U,10/15/2010,0.010,
19U,10/16/2010,0.000,
19U,10/17/2010,0.000,
19U,10/18/2010,0.000,
19U,10/19/2010,0.000,
19U,10/20/2010,0.000,
19U,10/21/2010,0.010,
19U,10/22/2010,0.080,
19U,10/23/2010,0.280,
19U,10/24/2010,0.870,
19U,10/25/2010,0.980,
19U,10/26/2010,0.190,
19U,10/27/2010,0.020,
19U,10/28/2010,0.060,
19U,10/29/2010,0.020,
19U,10/30/2010,0.290,
19U,10/31/2010,0.160,
19U,11/1/2010,1.390,
19U,11/2/2010,0.020,
19U,11/3/2010,0.000,
19U,11/4/2010,0.000,
19U,11/5/2010,0.170,
19U,11/6/2010,0.810,
19U,11/7/2010,0.130,
19U,11/8/2010,0.010,
19U,11/9/2010,0.160,
19U,11/10/2010,0.000,
19U,11/11/2010,0.100,
19U,11/12/2010,0.070,
19U,11/13/2010,0.260,
19U,11/14/2010,0.330,
19U,11/15/2010,0.190,
19U,11/16/2010,0.000,
19U,11/17/2010,0.540,
19U,11/18/2010,0.180,
19U,11/19/2010,0.030,
19U,11/20/2010,0.000,
19U,11/21/2010,0.010,
19U,11/22/2010,0.000,
19U,11/23/2010,0.000,
19U,11/24/2010,0.000,
19U,11/25/2010,0.390,
19U,11/26/2010,0.500,
19U,11/27/2010,0.100,
19U,11/28/2010,0.190,
19U,11/29/2010,0.050,
19U,11/30/2010,0.820,
19U,12/1/2010,0.010,
19U,12/2/2010,0.010,
19U,12/3/2010,0.030,
19U,12/4/2010,0.010,
19U,12/5/2010,0.000,
19U,12/6/2010,0.000,
19U,12/7/2010,0.300,
19U,12/8/2010,0.670,
19U,12/9/2010,1.120,
19U,12/10/2010,0.000,
19U,12/11/2010,0.910,
19U,12/12/2010,2.690,
19U,12/13/2010,0.430,
19U,12/14/2010,0.690,
19U,12/15/2010,0.100,
19U,12/16/2010,0.030,
19U,12/17/2010,0.010,
19U,12/18/2010,0.110,
19U,12/19/2010,0.060,
19U,12/20/2010,0.050,
19U,12/21/2010,0.030,
19U,12/22/2010,0.000,
19U,12/23/2010,0.260,
19U,12/24/2010,0.370,
19U,12/25/2010,0.270,
19U,12/26/2010,0.230,
19U,12/27/2010,0.270,
19U,12/28/2010,0.070,
19U,12/29/2010,0.260,
19U,12/30/2010,0.150,
19U,12/31/2010,0.000,
19U,1/1/2011,0.000,
19U,1/2/2011,0.000,
19U,1/3/2011,0.000,
19U,1/4/2011,0.000,
19U,1/5/2011,0.330,
19U,1/6/2011,0.390,
19U,1/7/2011,1.000,
19U,1/8/2011,0.040,
19U,1/9/2011,0.130,
19U,1/10/2011,0.000,
19U,1/11/2011,0.000,
19U,1/12/2011,1.240,
19U,1/13/2011,0.690,
19U,1/14/2011,0.450,
19U,1/15/2011,0.630,
19U,1/16/2011,0.330,
19U,1/17/2011,0.070,
19U,1/18/2011,0.140,
19U,1/19/2011,0.000,
19U,1/20/2011,0.170,
19U,1/21/2011,1.400,
19U,1/22/2011,0.110,
19U,1/23/2011,0.080,
19U,1/24/2011,0.400,
19U,1/25/2011,0.020,
19U,1/26/2011,0.000,
19U,1/27/2011,0.000,
19U,1/28/2011,0.240,
19U,1/29/2011,0.270,
19U,1/30/2011,0.130,
19U,1/31/2011,0.000,
19U,2/1/2011,0.000,
19U,2/2/2011,0.000,
19U,2/3/2011,0.000,
19U,2/4/2011,0.380,
19U,2/5/2011,0.080,
19U,2/6/2011,0.300,
19U,2/7/2011,0.080,
19U,2/8/2011,0.010,
19U,2/9/2011,0.000,
19U,2/10/2011,0.010,
19U,2/11/2011,0.000,
19U,2/12/2011,0.580,
19U,2/13/2011,0.180,
19U,2/14/2011,0.730,
19U,2/15/2011,0.190,
19U,2/16/2011,0.030,
19U,2/17/2011,0.100,
19U,2/18/2011,0.010,
19U,2/19/2011,0.000,
19U,2/20/2011,0.000,
19U,2/21/2011,0.160,
19U,2/22/2011,0.190,
19U,2/23/2011,0.420,
19U,2/24/2011,0.320,
19U,2/25/2011,0.000,
19U,2/26/2011,0.000,
19U,2/27/2011,0.680,
19U,2/28/2011,0.630,
19U,3/1/2011,0.160,
19U,3/2/2011,0.180,
19U,3/3/2011,0.370,
19U,3/4/2011,0.370,
19U,3/5/2011,0.000,
19U,3/6/2011,0.040,
19U,3/7/2011,0.000,
19U,3/8/2011,0.090,
19U,3/9/2011,1.020,
19U,3/10/2011,1.150,
19U,3/11/2011,0.000,
19U,3/12/2011,0.190,
19U,3/13/2011,0.740,
19U,3/14/2011,0.260,
19U,3/15/2011,0.680,
19U,3/16/2011,0.370,
19U,3/17/2011,0.020,
19U,3/18/2011,0.600,
19U,3/19/2011,0.000,
19U,3/20/2011,0.000,
19U,3/21/2011,0.020,
19U,3/22/2011,0.010,
19U,3/23/2011,0.000,
19U,3/24/2011,0.000,
19U,3/25/2011,0.390,
19U,3/26/2011,0.140,
19U,3/27/2011,0.180,
19U,3/28/2011,0.120,
19U,3/29/2011,0.350,
19U,3/30/2011,0.820,
19U,3/31/2011,0.130,
19U,4/1/2011,1.510,
19U,4/2/2011,0.960,
19U,4/3/2011,0.050,
19U,4/4/2011,0.460,
19U,4/5/2011,0.390,
19U,4/6/2011,0.210,
19U,4/7/2011,0.200,
19U,4/8/2011,0.000,
19U,4/9/2011,0.000,
19U,4/10/2011,0.260,
19U,4/11/2011,0.070,
19U,4/12/2011,0.000,
19U,4/13/2011,0.180,
19U,4/14/2011,0.420,
19U,4/15/2011,0.030,
19U,4/16/2011,0.230,
19U,4/17/2011,0.100,
19U,4/18/2011,0.190,
19U,4/19/2011,0.000,
19U,4/20/2011,0.020,
19U,4/21/2011,0.150,
19U,4/22/2011,0.010,
19U,4/23/2011,0.000,
19U,4/24/2011,0.200,
19U,4/25/2011,0.300,
19U,4/26/2011,0.100,
19U,4/27/2011,0.580,
19U,4/28/2011,0.110,
19U,4/29/2011,0.010,
19U,4/30/2011,0.010,
19U,5/1/2011,0.000,
19U,5/2/2011,0.190,
19U,5/3/2011,0.010,
19U,5/4/2011,0.020,
19U,5/5/2011,0.120,
19U,5/6/2011,0.390,
19U,5/7/2011,0.200,
19U,5/8/2011,0.140,
19U,5/9/2011,0.000,
19U,5/10/2011,0.000,
19U,5/11/2011,0.340,
19U,5/12/2011,0.000,
19U,5/13/2011,0.000,
19U,5/14/2011,0.940,
19U,5/15/2011,0.870,
19U,5/16/2011,0.030,
19U,5/17/2011,0.000,
19U,5/18/2011,0.000,
19U,5/19/2011,0.000,
19U,5/20/2011,0.000,
19U,5/21/2011,0.010,
19U,5/22/2011,0.370,
19U,5/23/2011,0.010,
19U,5/24/2011,0.000,
19U,5/25/2011,0.460,
19U,5/26/2011,0.130,
19U,5/27/2011,0.270,
19U,5/28/2011,0.030,
19U,5/29/2011,0.010,
19U,5/30/2011,0.010,
19U,5/31/2011,0.090,
19U,6/1/2011,0.410,
19U,6/2/2011,0.070,
19U,6/3/2011,0.000,
19U,6/4/2011,0.000,
19U,6/5/2011,0.000,
19U,6/6/2011,0.000,
19U,6/7/2011,0.130,
19U,6/8/2011,0.310,
19U,6/9/2011,0.000,
19U,6/10/2011,0.000,
19U,6/11/2011,0.000,
19U,6/12/2011,0.020,
19U,6/13/2011,0.050,
19U,6/14/2011,0.090,
19U,6/15/2011,0.310,
19U,6/16/2011,0.010,
19U,6/17/2011,0.000,
19U,6/18/2011,0.300,
19U,6/19/2011,0.030,
19U,6/20/2011,0.000,
19U,6/21/2011,0.000,
19U,6/22/2011,0.000,
19U,6/23/2011,0.140,
19U,6/24/2011,0.300,
19U,6/25/2011,0.030,
19U,6/26/2011,0.000,
19U,6/27/2011,0.000,
19U,6/28/2011,0.000,
19U,6/29/2011,0.000,
19U,6/30/2011,0.000,
19U,7/1/2011,0.000,
19U,7/2/2011,0.000,
19U,7/3/2011,0.010,
19U,7/4/2011,0.000,
19U,7/5/2011,0.000,
19U,7/6/2011,0.000,
19U,7/7/2011,0.000,
19U,7/8/2011,0.000,
19U,7/9/2011,0.000,
19U,7/10/2011,0.000,
19U,7/11/2011,0.000,
19U,7/12/2011,0.310,
19U,7/13/2011,0.180,
19U,7/14/2011,0.050,
19U,7/15/2011,0.010,
19U,7/16/2011,0.220,
19U,7/17/2011,0.010,
19U,7/18/2011,0.010,
19U,7/19/2011,0.000,
19U,7/20/2011,0.000,
19U,7/21/2011,0.000,
19U,7/22/2011,0.000,
19U,7/23/2011,0.000,
19U,7/24/2011,0.000,
19U,7/25/2011,0.040,
19U,7/26/2011,0.000,
19U,7/27/2011,0.010,
19U,7/28/2011,0.000,
19U,7/29/2011,0.000,
19U,7/30/2011,0.000,
19U,7/31/2011,0.000,
19U,8/1/2011,0.000,
19U,8/2/2011,0.000,
19U,8/3/2011,0.000,
19U,8/4/2011,0.000,
19U,8/5/2011,0.000,
19U,8/6/2011,0.000,
19U,8/7/2011,0.000,
19U,8/8/2011,0.000,
19U,8/9/2011,0.000,
19U,8/10/2011,0.000,
19U,8/11/2011,0.000,
19U,8/12/2011,0.000,
19U,8/13/2011,0.000,
19U,8/14/2011,0.000,
19U,8/15/2011,0.000,
19U,8/16/2011,0.000,
19U,8/17/2011,0.000,
19U,8/18/2011,0.000,
19U,8/19/2011,0.000,
19U,8/20/2011,0.000,
19U,8/21/2011,0.000,
19U,8/22/2011,0.090,
19U,8/23/2011,0.040,
19U,8/24/2011,0.010,
19U,8/25/2011,0.000,
19U,8/26/2011,0.000,
19U,8/27/2011,0.000,
19U,8/28/2011,0.000,
19U,8/29/2011,0.000,
19U,8/30/2011,0.000,
19U,8/31/2011,0.000,
19U,9/1/2011,0.000,
19U,9/2/2011,0.000,
19U,9/3/2011,0.000,
19U,9/4/2011,0.000,
19U,9/5/2011,0.000,
19U,9/6/2011,0.000,
19U,9/7/2011,0.000,
19U,9/8/2011,0.000,
19U,9/9/2011,0.000,
19U,9/10/2011,0.000,
19U,9/11/2011,0.000,
19U,9/12/2011,0.000,
19U,9/13/2011,0.000,
19U,9/14/2011,0.010,
19U,9/15/2011,0.000,
19U,9/16/2011,0.000,
19U,9/17/2011,0.150,
19U,9/18/2011,0.250,
19U,9/19/2011,0.090,
19U,9/20/2011,0.000,
19U,9/21/2011,0.000,
19U,9/22/2011,0.000,
19U,9/23/2011,0.000,
19U,9/24/2011,0.000,
19U,9/25/2011,0.240,
19U,9/26/2011,0.490,
19U,9/27/2011,0.100,
19U,9/28/2011,0.000,
19U,9/29/2011,0.000,
19U,9/30/2011,0.000,
19U,10/1/2011,0.000,
19U,10/2/2011,0.090,
19U,10/3/2011,0.060,
19U,10/4/2011,0.110,
19U,10/5/2011,0.360,
19U,10/6/2011,0.260,
19U,10/7/2011,0.050,
19U,10/8/2011,0.010,
19U,10/9/2011,0.120,
19U,10/10/2011,0.360,
19U,10/11/2011,1.130,
19U,10/12/2011,0.020,
19U,10/13/2011,0.000,
19U,10/14/2011,0.030,
19U,10/15/2011,0.000,
19U,10/16/2011,0.000,
19U,10/17/2011,0.000,
19U,10/18/2011,0.000,
19U,10/19/2011,0.010,
19U,10/20/2011,0.010,
19U,10/21/2011,0.160,
19U,10/22/2011,0.450,
19U,10/23/2011,0.030,
19U,10/24/2011,0.180,
19U,10/25/2011,0.010,
19U,10/26/2011,0.030,
19U,10/27/2011,0.010,
19U,10/28/2011,0.470,
19U,10/29/2011,0.010,
19U,10/30/2011,0.310,
19U,10/31/2011,0.000,
19U,11/1/2011,0.010,
19U,11/2/2011,0.260,
19U,11/3/2011,0.010,
19U,11/4/2011,0.000,
19U,11/5/2011,0.000,
19U,11/6/2011,0.000,
19U,11/7/2011,0.020,
19U,11/8/2011,0.000,
19U,11/9/2011,0.000,
19U,11/10/2011,0.000,
19U,11/11/2011,0.770,
19U,11/12/2011,0.490,
19U,11/13/2011,0.360,
19U,11/14/2011,0.300,
19U,11/15/2011,0.010,
19U,11/16/2011,0.750,
19U,11/17/2011,0.230,
19U,11/18/2011,0.140,
19U,11/19/2011,0.000,
19U,11/20/2011,0.010,
19U,11/21/2011,0.490,
19U,11/22/2011,1.800,
19U,11/23/2011,1.860,
19U,11/24/2011,0.380,
19U,11/25/2011,0.000,
19U,11/26/2011,0.010,
19U,11/27/2011,0.970,
19U,11/28/2011,0.020,
19U,11/29/2011,0.060,
19U,11/30/2011,0.110,
19U,12/1/2011,0.010,
19U,12/2/2011,0.050,
19U,12/3/2011,0.010,
19U,12/4/2011,0.000,
19U,12/5/2011,0.010,
19U,12/6/2011,0.000,
19U,12/7/2011,0.000,
19U,12/8/2011,0.000,
19U,12/9/2011,0.000,
19U,12/10/2011,0.020,
19U,12/11/2011,0.040,
19U,12/12/2011,0.000,
19U,12/13/2011,0.000,
19U,12/14/2011,0.000,
19U,12/15/2011,0.220,
19U,12/16/2011,0.010,
19U,12/17/2011,0.000,
19U,12/18/2011,0.430,
19U,12/19/2011,0.000,
19U,12/20/2011,0.010,
19U,12/21/2011,0.010,
